POINT_X,POINT_Y,DEM,PlnCurv,ProfCurv,Slope,TPI,TWI
896711.2387,4645758.153,221.5249939,0,0,4.335179806,-0.069824196,8.228540421
896720.638,4645758.153,221.7539978,9.63022E-06,0.000659126,3.477400064,-0.126907006,8.186900139
896730.0373,4645758.153,222.3200073,2.44062E-06,0.000319502,1.712200046,0.145050004,8.286000252
896739.4365,4645758.153,222.5,-1.76083E-05,-0.000113138,3.932840109,0.031601001,8.456170082
896748.8358,4645758.153,222.595993,0,0,5.444049835,0.0140228,8.490449905
896316.4697,4645748.753,221.6490021,0,0,2.942199945,-0.0576782,8.240750313
896325.869,4645748.753,221.5310059,0.000336135,2.41506E-05,3.039210081,-0.155837998,8.300109863
896335.2682,4645748.753,221.3939972,0.000125632,3.41306E-05,2.814399958,-0.195297003,8.138580322
896344.6675,4645748.753,221.1040039,0,0,3.534840107,-0.275803,8.033880234
896673.6417,4645748.753,220.6920013,0,0,3.806139946,-0.0434875,8.884679794
896683.0409,4645748.753,220.9880066,-5.52881E-05,-0.000495849,2.930150032,0.0277557,8.6144104
896692.4402,4645748.753,221.1620026,-3.70042E-06,-0.000151053,1.574349999,-0.032669101,8.460639954
896701.8395,4645748.753,221.3990021,-0.000190388,-0.000593743,1.355949998,-0.079833999,8.316840172
896711.2387,4645748.753,221.6999969,-0.000693427,0.000470624,6.989069939,-0.0292053,8.152420044
896720.638,4645748.753,222.0269928,-0.000698008,0.000300071,5.547319889,0.00337219,8.135910034
896730.0373,4645748.753,222.4389954,-0.000167025,0.000163743,4.812580109,0.122543,8.261630058
896739.4365,4645748.753,222.5850067,0.000205416,0.00017974,4.652150154,0.0151825,8.469120026
896748.8358,4645748.753,222.6900024,0.000376964,0.00106919,4.400479794,0.0040741,8.515110016
896758.235,4645748.753,222.7709961,-0.000149475,0.000149475,4.233290195,-0.00239563,8.525429726
896241.2756,4645739.354,220.9570007,0,0,4.28718996,-0.326095998,7.936460018
896250.6749,4645739.354,221.1719971,0.000327436,0.000122489,3.718839884,-0.335860997,8.015359879
896260.0741,4645739.354,221.5870056,0.000230183,3.11361E-05,2.736700058,-0.180816993,8.089900017
